proportion_correct,bias,recall,precision,kappa,f1,csi,far,site,stage,dem_type,strategy
0.892,1.8793,0.75,0.3991,0.4664,0.521,0.3522,0.6009,kansas_city_wardpkwy,44,fabdem,single
0.9196,1.5398,0.7434,0.4828,0.5431,0.5854,0.4138,0.5172,kansas_city_wardpkwy,44,aster,single
0.9303,1.2479,0.6068,0.4863,0.5027,0.5399,0.3698,0.5137,kansas_city_wardpkwy,44,aw3d30,single
0.9446,1.2124,0.7434,0.6131,0.6421,0.672,0.506,0.3869,kansas_city_wardpkwy,44,copdem,single
0.9455,1.1338,0.6831,0.6025,0.6109,0.6403,0.4709,0.3975,kansas_city_wardpkwy,44,gedtm,single
0.8785,1.9658,0.5812,0.2957,0.3323,0.3919,0.2437,0.7043,kansas_city_wardpkwy,44,nasadem,single
0.9514,1.0177,0.6903,0.6783,0.6579,0.6842,0.52,0.3217,kansas_city_wardpkwy,44,srtm,single
0.8339,3.0862,0.9828,0.3184,0.4114,0.481,0.3167,0.6816,kansas_city_wardpkwy,44,all,majority_>= 1
0.9021,2.1638,0.9569,0.4422,0.5575,0.6049,0.4336,0.5578,kansas_city_wardpkwy,44,all,majority_>= 2
0.9345,1.6638,0.9138,0.5492,0.652,0.6861,0.5222,0.4508,kansas_city_wardpkwy,44,all,majority_>= 3
0.948,1.25,0.7931,0.6345,0.6769,0.705,0.5444,0.3655,kansas_city_wardpkwy,44,all,majority_>= 4
0.9514,0.7414,0.5603,0.7558,0.6181,0.6436,0.4745,0.2442,kansas_city_wardpkwy,44,all,majority_>= 5
0.9399,0.3879,0.3103,0.8,0.4219,0.4472,0.288,0.2,kansas_city_wardpkwy,44,all,majority_>= 6
0.9291,0.1121,0.1034,0.9231,0.173,0.186,0.1026,0.0769,kansas_city_wardpkwy,44,all,majority_>= 7
0.9392,1.2069,0.7155,0.5929,0.6155,0.6484,0.4798,0.4071,kansas_city_wardpkwy,44,all,f-weighted
0.9453,0.8707,0.5862,0.6733,0.5974,0.6267,0.4564,0.3267,kansas_city_wardpkwy,44,all,edge-weighted
0.9697,1.1494,0.8843,0.7694,0.8064,0.8229,0.6991,0.2306,kansas_city_wardpkwy,44,usgs,single
0.8872,2.3441,0.7742,0.3303,0.4112,0.463,0.3013,0.6697,kansas_city_wardpkwy,42,fabdem,single
0.9176,1.9438,0.7865,0.4046,0.4942,0.5344,0.3646,0.5954,kansas_city_wardpkwy,42,aster,single
0.9286,1.587,0.6196,0.3904,0.4428,0.479,0.3149,0.6096,kansas_city_wardpkwy,42,aw3d30,single
0.9406,1.5393,0.7753,0.5036,0.58,0.6106,0.4395,0.4964,kansas_city_wardpkwy,42,copdem,single
0.947,1.3529,0.7311,0.5404,0.5936,0.6214,0.4508,0.4596,kansas_city_wardpkwy,42,gedtm,single
0.8802,2.5,0.6196,0.2478,0.3011,0.354,0.2151,0.7522,kansas_city_wardpkwy,42,nasadem,single
0.9541,1.2921,0.764,0.5913,0.6424,0.6667,0.5,0.4087,kansas_city_wardpkwy,42,srtm,single
0.8184,3.8495,0.9785,0.2542,0.3375,0.4035,0.2528,0.7458,kansas_city_wardpkwy,42,all,majority_>= 1
0.8879,2.6989,0.957,0.3546,0.4688,0.5174,0.349,0.6454,kansas_city_wardpkwy,42,all,majority_>= 2
0.9251,2.0645,0.9355,0.4531,0.5745,0.6105,0.4394,0.5469,kansas_city_wardpkwy,42,all,majority_>= 3
0.9433,1.5591,0.828,0.531,0.6178,0.6471,0.4783,0.469,kansas_city_wardpkwy,42,all,majority_>= 4
0.9575,0.9247,0.6237,0.6744,0.6254,0.648,0.4793,0.3256,kansas_city_wardpkwy,42,all,majority_>= 5
0.9527,0.4839,0.3656,0.7556,0.4711,0.4928,0.3269,0.2444,kansas_city_wardpkwy,42,all,majority_>= 6
0.9446,0.1398,0.129,0.9231,0.2143,0.2264,0.1277,0.0769,kansas_city_wardpkwy,42,all,majority_>= 7
0.9386,1.5054,0.7634,0.5071,0.5776,0.6094,0.4383,0.4929,kansas_city_wardpkwy,42,all,f-weighted
0.9514,1.086,0.6559,0.604,0.6029,0.6289,0.4586,0.396,kansas_city_wardpkwy,42,all,edge-weighted
